Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Pushkino-Taldom-Hot'kovo	28/08/2005 14:24:57 	4:57:56	296 km	60 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 59.652 E37 52.450	28/08/2005 14:30:55 	141 m			5 m	0:00:01	19 kph	261° true
Trackpoint	N55 59.651 E37 52.428	28/08/2005 14:31:02 	141 m			22 m	0:00:07	11 kph	265° true
Trackpoint	N55 59.651 E37 52.419	28/08/2005 14:31:10 	142 m			9 m	0:00:08	4 kph	268° true
Trackpoint	N55 59.651 E37 52.415	28/08/2005 14:31:19 	147 m			5 m	0:00:09	2 kph	266° true
Trackpoint	N55 59.648 E37 52.412	28/08/2005 14:37:20 	152 m			6 m	0:06:01	0.1 kph	210° true
Trackpoint	N55 59.644 E37 52.406	28/08/2005 14:40:50 	148 m			10 m	0:03:30	0.2 kph	220° true
Trackpoint	N55 59.634 E37 52.415	28/08/2005 14:40:57 	146 m			20 m	0:00:07	10 kph	151° true
Trackpoint	N55 59.625 E37 52.408	28/08/2005 14:41:03 	146 m			19 m	0:00:06	11 kph	203° true
Trackpoint	N55 59.621 E37 52.423	28/08/2005 14:41:07 	144 m			17 m	0:00:04	16 kph	117° true
Trackpoint	N55 59.619 E37 52.432	28/08/2005 14:41:09 	144 m			10 m	0:00:02	18 kph	111° true
Trackpoint	N55 59.607 E37 52.448	28/08/2005 14:41:15 	143 m			28 m	0:00:06	17 kph	143° true
Trackpoint	N55 59.604 E37 52.447	28/08/2005 14:41:16 	143 m			6 m	0:00:01	20 kph	188° true
Trackpoint	N55 59.583 E37 52.439	28/08/2005 14:41:23 	141 m			40 m	0:00:07	20 kph	192° true
Trackpoint	N55 59.563 E37 52.430	28/08/2005 14:41:32 	141 m			38 m	0:00:09	15 kph	194° true
Trackpoint	N55 59.547 E37 52.426	28/08/2005 14:41:40 	140 m			29 m	0:00:08	13 kph	188° true
Trackpoint	N55 59.530 E37 52.419	28/08/2005 14:41:45 	140 m			34 m	0:00:05	24 kph	194° true
Trackpoint	N55 59.510 E37 52.410	28/08/2005 14:41:52 	140 m			37 m	0:00:07	19 kph	194° true
