Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Ïóøêèíî - Èñòðà - Íîâ.Èåðóñàëèì - ßõðîìà - Äìèòðîâ - Ñåðãèåâ Ïîñàä	02/10/2005 10:38:38 	3:48:04	276 km	73 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 02.951 E37 52.576	02/10/2005 10:44:58 	166 m			119 m	0:00:07	61 kph	30° true
Trackpoint	N56 02.985 E37 52.621	02/10/2005 10:45:03 	165 m			78 m	0:00:05	56 kph	36° true
Trackpoint	N56 02.994 E37 52.634	02/10/2005 10:45:06 	165 m			21 m	0:00:03	26 kph	38° true
Trackpoint	N56 03.008 E37 52.654	02/10/2005 10:45:13 	165 m			33 m	0:00:07	17 kph	39° true
Trackpoint	N56 03.019 E37 52.651	02/10/2005 10:45:17 	165 m			21 m	0:00:04	19 kph	352° true
Trackpoint	N56 03.021 E37 52.645	02/10/2005 10:45:18 	165 m			8 m	0:00:01	28 kph	307° true
Trackpoint	N56 03.044 E37 52.590	02/10/2005 10:45:25 	166 m			71 m	0:00:07	37 kph	307° true
Trackpoint	N56 03.069 E37 52.536	02/10/2005 10:45:30 	166 m			72 m	0:00:05	52 kph	309° true
Trackpoint	N56 03.106 E37 52.457	02/10/2005 10:45:36 	164 m			108 m	0:00:06	65 kph	311° true
Trackpoint	N56 03.155 E37 52.380	02/10/2005 10:45:42 	163 m			120 m	0:00:06	72 kph	319° true
Trackpoint	N56 03.202 E37 52.341	02/10/2005 10:45:47 	164 m			95 m	0:00:05	69 kph	335° true
Trackpoint	N56 03.269 E37 52.299	02/10/2005 10:45:55 	164 m			132 m	0:00:08	60 kph	341° true
Trackpoint	N56 03.338 E37 52.256	02/10/2005 10:46:04 	164 m			136 m	0:00:09	54 kph	341° true
Trackpoint	N56 03.417 E37 52.207	02/10/2005 10:46:14 	163 m			154 m	0:00:10	55 kph	341° true
Trackpoint	N56 03.468 E37 52.175	02/10/2005 10:46:21 	163 m			101 m	0:00:07	52 kph	341° true
Trackpoint	N56 03.552 E37 52.122	02/10/2005 10:46:33 	165 m			166 m	0:00:12	50 kph	341° true
Trackpoint	N56 03.582 E37 52.100	02/10/2005 10:46:38 	165 m			60 m	0:00:05	43 kph	337° true
Trackpoint	N56 03.613 E37 52.051	02/10/2005 10:46:44 	164 m			76 m	0:00:06	46 kph	318° true
Trackpoint	N56 03.638 E37 51.999	02/10/2005 10:46:50 	164 m			71 m	0:00:06	43 kph	311° true
Trackpoint	N56 03.652 E37 51.952	02/10/2005 10:47:05 	166 m			56 m	0:00:15	13 kph	299° true
Trackpoint	N56 03.661 E37 51.913	02/10/2005 10:47:15 	165 m			43 m	0:00:10	16 kph	292° true
Trackpoint	N56 03.669 E37 51.877	02/10/2005 10:47:19 	165 m			41 m	0:00:04	36 kph	291° true
Trackpoint	N56 03.684 E37 51.816	02/10/2005 10:47:24 	166 m			68 m	0:00:05	49 kph	294° true
Trackpoint	N56 03.706 E37 51.730	02/10/2005 10:47:30 	168 m			98 m	0:00:06	59 kph	295° true
Trackpoint	N56 03.720 E37 51.646	02/10/2005 10:47:36 	169 m			91 m	0:00:06	55 kph	286° true
Trackpoint	N56 03.742 E37 51.505	02/10/2005 10:47:46 	170 m			151 m	0:00:10	55 kph	286° true
Trackpoint	N56 03.761 E37 51.379	02/10/2005 10:47:55 	168 m			136 m	0:00:09	54 kph	285° true
Trackpoint	N56 03.788 E37 51.204	02/10/2005 10:48:07 	166 m			187 m	0:00:12	56 kph	285° true
