Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 06.611 E37 49.224	09/10/2005 11:33:28 	192 m			375 m	0:00:18	75 kph	327° true
Trackpoint	N56 06.699 E37 49.118	09/10/2005 11:33:53 	192 m			196 m	0:00:25	28 kph	326° true
Trackpoint	N56 06.779 E37 49.024	09/10/2005 11:34:16 	191 m			177 m	0:00:23	28 kph	327° true
Trackpoint	N56 06.889 E37 48.895	09/10/2005 11:34:31 	190 m			245 m	0:00:15	59 kph	327° true
Trackpoint	N56 06.963 E37 48.792	09/10/2005 11:34:41 	182 m			174 m	0:00:10	62 kph	322° true
Trackpoint	N56 07.003 E37 48.604	09/10/2005 11:34:53 	178 m			208 m	0:00:12	62 kph	291° true
Trackpoint	N56 06.995 E37 48.521	09/10/2005 11:34:59 	179 m			88 m	0:00:06	53 kph	259° true
Trackpoint	N56 06.987 E37 48.385	09/10/2005 11:35:15 	181 m			141 m	0:00:16	32 kph	264° true
Trackpoint	N56 07.078 E37 48.290	09/10/2005 11:35:28 	186 m			196 m	0:00:13	54 kph	330° true
Trackpoint	N56 07.272 E37 48.086	09/10/2005 11:35:49 	190 m			418 m	0:00:21	72 kph	330° true
Trackpoint	N56 07.464 E37 47.884	09/10/2005 11:36:06 	184 m			413 m	0:00:17	87 kph	330° true
Trackpoint	N56 07.711 E37 47.625	09/10/2005 11:36:27 	184 m			531 m	0:00:21	91 kph	330° true
Trackpoint	N56 07.774 E37 47.552	09/10/2005 11:36:33 	185 m			139 m	0:00:06	83 kph	327° true
Trackpoint	N56 07.849 E37 47.360	09/10/2005 11:36:44 	190 m			241 m	0:00:11	79 kph	305° true
Trackpoint	N56 07.969 E37 47.121	09/10/2005 11:37:00 	193 m			333 m	0:00:16	75 kph	312° true
Trackpoint	N56 08.144 E37 46.879	09/10/2005 11:37:18 	199 m			410 m	0:00:18	82 kph	322° true
Trackpoint	N56 08.211 E37 46.680	09/10/2005 11:37:29 	202 m			241 m	0:00:11	79 kph	301° true
Trackpoint	N56 08.308 E37 46.286	09/10/2005 11:37:48 	198 m			445 m	0:00:19	84 kph	294° true
