Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	МКАД - M9 - Новый Иерусалим	04/03/2006 12:56:46 	0:55:06	63.0 km	69 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N55 48.623 E37 23.326	04/03/2006 13:04:21 	152 m			144 m	0:00:19	27 kph	190° true
Trackpoint	N55 48.600 E37 23.319	04/03/2006 13:04:28 	152 m			44 m	0:00:07	23 kph	190° true
Trackpoint	N55 48.569 E37 23.308	04/03/2006 13:04:36 	151 m			58 m	0:00:08	26 kph	190° true
Trackpoint	N55 48.537 E37 23.298	04/03/2006 13:04:44 	151 m			60 m	0:00:08	27 kph	190° true
Trackpoint	N55 48.479 E37 23.278	04/03/2006 13:04:57 	149 m			111 m	0:00:13	31 kph	191° true
Trackpoint	N55 48.430 E37 23.258	04/03/2006 13:05:05 	148 m			94 m	0:00:08	42 kph	193° true
Trackpoint	N55 48.379 E37 23.235	04/03/2006 13:05:14 	146 m			97 m	0:00:09	39 kph	194° true
Trackpoint	N55 48.332 E37 23.210	04/03/2006 13:05:23 	144 m			91 m	0:00:09	36 kph	197° true
Trackpoint	N55 48.293 E37 23.187	04/03/2006 13:05:29 	144 m			76 m	0:00:06	46 kph	198° true
Trackpoint	N55 48.233 E37 23.148	04/03/2006 13:05:37 	143 m			117 m	0:00:08	53 kph	200° true
Trackpoint	N55 48.167 E37 23.101	04/03/2006 13:05:45 	143 m			134 m	0:00:08	60 kph	202° true
Trackpoint	N55 48.074 E37 23.023	04/03/2006 13:05:56 	145 m			190 m	0:00:11	62 kph	205° true
Trackpoint	N55 47.998 E37 22.950	04/03/2006 13:06:05 	147 m			160 m	0:00:09	64 kph	208° true
Trackpoint	N55 47.947 E37 22.901	04/03/2006 13:06:12 	149 m			108 m	0:00:07	56 kph	208° true
Trackpoint	N55 47.872 E37 22.829	04/03/2006 13:06:22 	150 m			158 m	0:00:10	57 kph	208° true
Trackpoint	N55 47.787 E37 22.745	04/03/2006 13:06:33 	150 m			181 m	0:00:11	59 kph	209° true
Trackpoint	N55 47.728 E37 22.683	04/03/2006 13:06:40 	149 m			126 m	0:00:07	65 kph	211° true
Trackpoint	N55 47.685 E37 22.640	04/03/2006 13:06:45 	150 m			93 m	0:00:05	67 kph	209° true
Trackpoint	N55 47.633 E37 22.587	04/03/2006 13:06:52 	149 m			110 m	0:00:07	57 kph	210° true
Trackpoint	N55 47.579 E37 22.535	04/03/2006 13:07:00 	149 m			114 m	0:00:08	51 kph	209° true
Trackpoint	N55 47.556 E37 22.512	04/03/2006 13:07:05 	149 m			49 m	0:00:05	35 kph	209° true
Trackpoint	N55 47.535 E37 22.490	04/03/2006 13:07:12 	149 m			45 m	0:00:07	23 kph	210° true
Trackpoint	N55 47.515 E37 22.462	04/03/2006 13:07:18 	148 m			48 m	0:00:06	29 kph	218° true
Trackpoint	N55 47.497 E37 22.418	04/03/2006 13:07:24 	145 m			56 m	0:00:06	33 kph	234° true
Trackpoint	N55 47.486 E37 22.366	04/03/2006 13:07:29 	141 m			58 m	0:00:05	42 kph	249° true
Trackpoint	N55 47.472 E37 22.277	04/03/2006 13:07:36 	140 m			97 m	0:00:07	50 kph	255° true
Trackpoint	N55 47.460 E37 22.167	04/03/2006 13:07:45 	140 m			117 m	0:00:09	47 kph	258° true
Trackpoint	N55 47.454 E37 22.092	04/03/2006 13:07:52 	140 m			79 m	0:00:07	41 kph	263° true
Trackpoint	N55 47.458 E37 22.034	04/03/2006 13:07:58 	140 m			61 m	0:00:06	36 kph	277° true
Trackpoint	N55 47.470 E37 21.966	04/03/2006 13:08:06 	140 m			74 m	0:00:08	33 kph	287° true
Trackpoint	N55 47.481 E37 21.905	04/03/2006 13:08:11 	140 m			67 m	0:00:05	49 kph	288° true
Trackpoint	N55 47.495 E37 21.841	04/03/2006 13:08:15 	140 m			71 m	0:00:04	64 kph	290° true
Trackpoint	N55 47.522 E37 21.714	04/03/2006 13:08:22 	140 m			142 m	0:00:07	73 kph	291° true
Trackpoint	N55 47.556 E37 21.588	04/03/2006 13:08:29 	139 m			146 m	0:00:07	75 kph	295° true
Trackpoint	N55 47.582 E37 21.508	04/03/2006 13:08:34 	138 m			97 m	0:00:05	70 kph	300° true
Trackpoint	N55 47.614 E37 21.418	04/03/2006 13:08:39 	137 m			110 m	0:00:05	79 kph	302° true
Trackpoint	N55 47.659 E37 21.304	04/03/2006 13:08:45 	134 m			146 m	0:00:06	87 kph	305° true
Trackpoint	N55 47.719 E37 21.170	04/03/2006 13:08:52 	134 m			178 m	0:00:07	92 kph	309° true
Trackpoint	N55 47.783 E37 21.022	04/03/2006 13:09:00 	135 m			195 m	0:00:08	88 kph	307° true
Trackpoint	N55 47.862 E37 20.831	04/03/2006 13:09:10 	135 m			247 m	0:00:10	89 kph	306° true
Trackpoint	N55 47.895 E37 20.730	04/03/2006 13:09:15 	136 m			122 m	0:00:05	88 kph	300° true
Trackpoint	N55 47.929 E37 20.592	04/03/2006 13:09:21 	136 m			157 m	0:00:06	94 kph	294° true
Trackpoint	N55 47.958 E37 20.444	04/03/2006 13:09:27 	137 m			164 m	0:00:06	98 kph	289° true
Trackpoint	N55 47.989 E37 20.214	04/03/2006 13:09:36 	138 m			246 m	0:00:09	98 kph	283° true
Trackpoint	N55 48.029 E37 19.852	04/03/2006 13:09:50 	139 m			386 m	0:00:14	99 kph	281° true
