Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track 000	03/11/2024 18:44:07 	0:41:14	22.8 km	33 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N59 56.185 E30 29.288	03/11/2024 18:49:19 	34 m			3 m	0:00:03	3 kph	182° true
Trackpoint	N59 56.185 E30 29.289	03/11/2024 18:49:29 	30 m			2 m	0:00:10	0.6 kph	124° true
Trackpoint	N59 56.185 E30 29.289	03/11/2024 18:49:32 	28 m			1 m	0:00:03	0.6 kph	270° true
Trackpoint	N59 56.179 E30 29.286	03/11/2024 18:49:36 	29 m			12 m	0:00:04	11 kph	192° true
Trackpoint	N59 56.173 E30 29.284	03/11/2024 18:49:41 	29 m			11 m	0:00:05	8 kph	192° true
Trackpoint	N59 56.172 E30 29.283	03/11/2024 18:49:48 	29 m			1 m	0:00:07	0.5 kph	194° true
Trackpoint	N59 56.167 E30 29.282	03/11/2024 18:49:54 	27 m			10 m	0:00:06	6 kph	188° true
Trackpoint	N59 56.165 E30 29.281	03/11/2024 18:49:58 	25 m			4 m	0:00:04	4 kph	189° true
Trackpoint	N59 56.163 E30 29.280	03/11/2024 18:50:15 	29 m			3 m	0:00:17	0.7 kph	203° true
Trackpoint	N59 56.161 E30 29.279	03/11/2024 18:50:22 	28 m			4 m	0:00:07	2 kph	190° true
Trackpoint	N59 56.159 E30 29.280	03/11/2024 18:50:27 	25 m			3 m	0:00:05	2 kph	169° true
Trackpoint	N59 56.155 E30 29.279	03/11/2024 18:50:46 	24 m			7 m	0:00:19	1.4 kph	184° true
Trackpoint	N59 56.156 E30 29.279	03/11/2024 18:50:47 	24 m			0 m	0:00:01	0 kph	27° true
Trackpoint	N59 56.152 E30 29.279	03/11/2024 18:50:54 	23 m			6 m	0:00:07	3 kph	181° true
Trackpoint	N59 56.150 E30 29.278	03/11/2024 18:51:01 	22 m			5 m	0:00:07	3 kph	192° true
Trackpoint	N59 56.148 E30 29.278	03/11/2024 18:51:07 	23 m			3 m	0:00:06	2 kph	194° true
Trackpoint	N59 56.149 E30 29.277	03/11/2024 18:51:10 	20 m			1 m	0:00:03	1.1 kph	296° true
Trackpoint	N59 56.147 E30 29.277	03/11/2024 18:51:28 	20 m			3 m	0:00:18	0.7 kph	182° true
