Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	10-jun-04	11/06/2004 09:34:01 	2:06:08	149 km	71 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N60 04.575 E30 10.937	11/06/2004 09:45:12 	11 m			338 m	0:00:12	101 kph	224° true
Trackpoint	N60 04.429 E30 10.728	11/06/2004 09:45:24 	11 m			332 m	0:00:12	100 kph	216° true
Trackpoint	N60 04.141 E30 10.347	11/06/2004 09:45:47 	10 m			640 m	0:00:23	100 kph	213° true
Trackpoint	N60 03.997 E30 10.117	11/06/2004 09:45:59 	9 m			343 m	0:00:12	103 kph	218° true
Trackpoint	N60 03.837 E30 09.784	11/06/2004 09:46:14 	7 m			427 m	0:00:15	102 kph	226° true
Trackpoint	N60 03.720 E30 09.466	11/06/2004 09:46:27 	7 m			366 m	0:00:13	101 kph	234° true
Trackpoint	N60 03.609 E30 09.077	11/06/2004 09:46:42 	5 m			415 m	0:00:15	100 kph	240° true
Trackpoint	N60 03.545 E30 08.745	11/06/2004 09:46:54 	7 m			330 m	0:00:12	99 kph	249° true
Trackpoint	N60 03.481 E30 08.290	11/06/2004 09:47:10 	8 m			438 m	0:00:16	99 kph	254° true
Trackpoint	N60 03.377 E30 07.513	11/06/2004 09:47:37 	9 m			744 m	0:00:27	99 kph	255° true
Trackpoint	N60 03.287 E30 06.832	11/06/2004 09:48:01 	8 m			652 m	0:00:24	98 kph	255° true
Trackpoint	N60 03.191 E30 06.114	11/06/2004 09:48:26 	9 m			689 m	0:00:25	99 kph	255° true
Trackpoint	N60 03.093 E30 05.371	11/06/2004 09:48:52 	12 m			712 m	0:00:26	99 kph	255° true
Trackpoint	N60 02.991 E30 04.606	11/06/2004 09:49:19 	9 m			733 m	0:00:27	98 kph	255° true
Trackpoint	N60 02.899 E30 03.906	11/06/2004 09:49:43 	11 m			671 m	0:00:24	101 kph	255° true
Trackpoint	N60 02.804 E30 03.199	11/06/2004 09:50:07 	12 m			678 m	0:00:24	102 kph	255° true
Trackpoint	N60 02.702 E30 02.432	11/06/2004 09:50:33 	13 m			736 m	0:00:26	102 kph	255° true
Trackpoint	N60 02.597 E30 01.721	11/06/2004 09:50:58 	13 m			687 m	0:00:25	99 kph	254° true
Trackpoint	N60 02.479 E30 00.985	11/06/2004 09:51:24 	13 m			717 m	0:00:26	99 kph	252° true
Trackpoint	N60 02.387 E30 00.394	11/06/2004 09:51:45 	12 m			573 m	0:00:21	98 kph	253° true
Trackpoint	N60 02.347 E29 59.962	11/06/2004 09:52:00 	10 m			407 m	0:00:15	98 kph	259° true
Trackpoint	N60 02.329 E29 59.532	11/06/2004 09:52:15 	11 m			400 m	0:00:15	96 kph	265° true
Trackpoint	N60 02.336 E29 59.108	11/06/2004 09:52:30 	11 m			393 m	0:00:15	94 kph	272° true
Trackpoint	N60 02.342 E29 58.663	11/06/2004 09:52:46 	9 m			413 m	0:00:16	93 kph	272° true
Trackpoint	N60 02.333 E29 58.398	11/06/2004 09:52:57 	7 m			246 m	0:00:11	81 kph	266° true
Trackpoint	N60 02.328 E29 58.299	11/06/2004 09:53:03 	6 m			92 m	0:00:06	55 kph	264° true
Trackpoint	N60 02.345 E29 58.237	11/06/2004 09:53:09 	4 m			65 m	0:00:06	39 kph	299° true
Trackpoint	N60 02.376 E29 58.242	11/06/2004 09:53:14 	1 m			58 m	0:00:05	42 kph	4° true
Trackpoint	N60 02.390 E29 58.294	11/06/2004 09:53:18 	-0 m			54 m	0:00:04	49 kph	62° true
Trackpoint	N60 02.391 E29 58.310	11/06/2004 09:53:19 	-0 m			16 m	0:00:01	57 kph	82° true
Trackpoint	N60 02.389 E29 58.514	11/06/2004 09:53:31 	0 m			189 m	0:00:12	57 kph	91° true
Trackpoint	N60 02.368 E29 58.565	11/06/2004 09:53:38 	1 m			61 m	0:00:07	31 kph	128° true
Trackpoint	N60 02.358 E29 58.573	11/06/2004 09:53:40 	1 m			20 m	0:00:02	36 kph	159° true
Trackpoint	N60 02.263 E29 58.616	11/06/2004 09:53:52 	1 m			181 m	0:00:12	54 kph	167° true
Trackpoint	N60 02.164 E29 58.687	11/06/2004 09:54:01 	1 m			195 m	0:00:09	78 kph	160° true
Trackpoint	N60 02.082 E29 58.808	11/06/2004 09:54:09 	1 m			189 m	0:00:08	85 kph	143° true
Trackpoint	N60 02.019 E29 58.966	11/06/2004 09:54:17 	2 m			187 m	0:00:08	84 kph	129° true
