"id";"id_device";"id_type";"event_dt";"time";"latitude";"longitude";"altitude";"azimuth";"speed";"accelerometer";"fuel";"odometer";"movementsensor";"address";"satellitescount";"hdop";"batterylevel";"state";"from_archive";"odometer_forced";"fuel_expense";"odometer_calculated";"odometer_ext";"sensor_acc";"sensor_odometer";"sos"
1022220946;1437406;0;"2012-09-01 08:14:44.341528";"2012-09-01 08:09:59";55.798737;37.575882;196;172;31.32;;;5697715;1;"Москва, Savyolovsky District, Башиловская улица";9;0.8;1;1;3;0;;0;5697715;"1";"111";"0"
1022220950;1437406;0;"2012-09-01 08:14:47.177408";"2012-09-01 08:10:29";55.796882;37.576365;206;172;38.71;;;5697937;1;"Москва, Savyolovsky District, Башиловская улица";8;1;1;1;3;0;;0;5697937;"1";"320";"0"
1022220952;1437406;0;"2012-09-01 08:14:50.676752";"2012-09-01 08:11:00";55.795592;37.576505;212;0;0.00;;;5698090;1;"Москва, Savyolovsky District, Башиловская улица";8;1;1;1;3;0;;0;5698090;"1";"464";"0"
1022220956;1437406;0;"2012-09-01 08:14:53.732716";"2012-09-01 08:11:30";55.794260;37.576792;205;170;23.24;;;5698248;1;"Москва, Savyolovsky District, Башиловская улица";9;0.8;1;1;3;0;;0;5698248;"1";"613";"0"
1022220965;1437406;0;"2012-09-01 08:15:01.167939";"2012-09-01 08:11:59";55.792332;37.577312;208;170;28.17;;;5698479;1;"Москва, Savyolovsky District, Башиловская улица";8;1.2;1;1;3;0;;0;5698479;"1";"831";"0"
1022220960;1437406;0;"2012-09-01 08:14:56.264289";"2012-09-01 08:11:59";55.792332;37.577312;208;170;28.17;;;5698479;1;"Москва, Savyolovsky District, Башиловская улица";8;1.2;1;1;3;0;;0;5698479;"1";"831";"0"
1022220973;1437406;0;"2012-09-01 08:15:09.434399";"2012-09-01 08:12:32";55.792040;37.577327;199;0;0.00;;;5698513;1;"Москва, Savyolovsky District, улица Нижняя Масловка";9;0.8;1;1;3;0;;0;5698513;"1";"863";"0"
1022220978;1437406;0;"2012-09-01 08:15:12.54256";"2012-09-01 08:13:02";55.791810;37.573712;193;264;76.54;;;5698760;1;"Москва, Savyolovsky District, улица Нижняя Масловка";8;1;1;1;3;0;;0;5698760;"1";"1096";"0"
1022220981;1437406;0;"2012-09-01 08:15:15.774309";"2012-09-01 08:13:31";55.791355;37.572045;188;84;79.02;;;5699150;1;"Москва, Aeroport District, улица Нижняя Масловка";8;1;1;1;3;0;;0;5699150;"1";"1464";"0"
1022220984;1437406;0;"2012-09-01 08:15:19.177395";"2012-09-01 08:14:01";55.792020;37.583257;199;82;84.58;;;5699902;1;"Москва, Begovoy District, улица Нижняя Масловка";8;0.8;1;1;3;0;;0;5699902;"1";"2173";"0"
