Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	Александрийский столб		User Waypoint	N59 56.336 E30 18.937	15 m				Symbol & Name	Unknown	Waypoint
Waypoint	Гостиница в Репино		User Waypoint	N60 09.782 E29 51.325	-11 m				Symbol & Name	Unknown	Waypoint

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course	Satellites

Trackpoint	N55 43.907 E37 35.363	18/04/2012 05:29:57 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 05:30:27 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 05:30:57 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 05:31:27 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.907 E37 35.363	18/04/2012 05:31:58 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 43.892 E37 35.459	18/04/2012 05:32:29 	130 m			0 m	0:00:10	2 kph	235° true	4	2.0
Trackpoint	N55 43.905 E37 35.539	18/04/2012 05:32:59 	162 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 43.906 E37 35.539	18/04/2012 05:33:30 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 43.906 E37 35.539	18/04/2012 05:34:01 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 43.987 E37 35.552	18/04/2012 05:34:30 	123 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.014 E37 35.574	18/04/2012 05:35:00 	118 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.042 E37 35.587	18/04/2012 05:35:31 	120 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.070 E37 35.605	18/04/2012 05:36:01 	125 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.099 E37 35.625	18/04/2012 05:36:31 	124 m			0 m	0:00:10	2 kph	235° true	9	0.8
Trackpoint	N55 44.122 E37 35.622	18/04/2012 05:37:01 	128 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.144 E37 35.633	18/04/2012 05:37:32 	144 m			0 m	0:00:10	2 kph	235° true	7	0.9
Trackpoint	N55 44.144 E37 35.633	18/04/2012 05:38:02 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.160 E37 35.648	18/04/2012 05:38:32 	178 m			0 m	0:00:10	2 kph	235° true	9	0.8
Trackpoint	N55 44.169 E37 35.728	18/04/2012 05:39:03 	142 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.174 E37 35.726	18/04/2012 05:39:33 	137 m			0 m	0:00:10	2 kph	235° true	9	0.9
Trackpoint	N55 44.152 E37 35.690	18/04/2012 05:40:03 	182 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.214 E37 35.831	18/04/2012 05:40:34 	150 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.208 E37 35.842	18/04/2012 05:41:05 	0 m			0 m	0:00:10	2 kph	235° true	9	0.0
Trackpoint	N55 44.254 E37 35.842	18/04/2012 05:41:35 	148 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.273 E37 35.865	18/04/2012 05:42:05 	134 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.291 E37 35.892	18/04/2012 05:42:35 	152 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.297 E37 35.901	18/04/2012 05:43:05 	248 m			0 m	0:00:10	2 kph	235° true	9	0.9
Trackpoint	N55 44.297 E37 35.906	18/04/2012 05:43:34 	0 m			0 m	0:00:10	2 kph	235° true	2	0.0
Trackpoint	N55 44.295 E37 35.976	18/04/2012 05:44:05 	178 m			0 m	0:00:10	2 kph	235° true	10	0.8
Trackpoint	N55 44.281 E37 36.030	18/04/2012 05:44:36 	150 m			0 m	0:00:10	2 kph	235° true	9	0.9
Trackpoint	N55 44.265 E37 35.923	18/04/2012 05:45:06 	154 m			0 m	0:00:10	2 kph	235° true	9	0.9
Trackpoint	N55 44.290 E37 36.166	18/04/2012 05:45:36 	286 m			0 m	0:00:10	2 kph	235° true	8	0.9
Trackpoint	N55 44.289 E37 36.173	18/04/2012 05:46:07 	0 m			0 m	0:00:10	2 kph	235° true	9	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:46:42 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:47:07 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:47:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:48:07 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:48:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 05:58:39 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:06:10 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:06:39 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:08:37 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:08:41 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:08:45 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:28:37 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 06:28:42 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:08:39 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:08:44 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:04 	0 m			0 m	0:00:10	2 kph	235° true	0	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:08 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
Trackpoint	N55 44.317 E37 36.171	18/04/2012 07:42:12 	0 m			0 m	0:00:10	2 kph	235° true	1	0.0
